;date;India;Germany;China
0;2020-01-22;0;0;548
1;2020-01-23;0;0;643
2;2020-01-24;0;0;920
3;2020-01-25;0;0;1406
4;2020-01-26;0;0;2075
5;2020-01-27;0;1;2877
6;2020-01-28;0;4;5509
7;2020-01-29;0;4;6087
8;2020-01-30;1;4;8141
9;2020-01-31;1;5;9802
10;2020-02-01;1;8;11891
11;2020-02-02;2;10;16630
12;2020-02-03;3;12;19716
13;2020-02-04;3;12;23707
14;2020-02-05;3;12;27440
15;2020-02-06;3;12;30587
16;2020-02-07;3;13;34110
17;2020-02-08;3;13;36814
18;2020-02-09;3;14;39829
19;2020-02-10;3;14;42354
20;2020-02-11;3;16;44386
21;2020-02-12;3;16;44759
22;2020-02-13;3;16;59895
23;2020-02-14;3;16;66358
24;2020-02-15;3;16;68413
25;2020-02-16;3;16;70513
26;2020-02-17;3;16;72434
27;2020-02-18;3;16;74211
28;2020-02-19;3;16;74619
29;2020-02-20;3;16;75077
30;2020-02-21;3;16;75550
31;2020-02-22;3;16;77001
32;2020-02-23;3;16;77022
33;2020-02-24;3;16;77241
34;2020-02-25;3;16;77754
35;2020-02-26;3;21;78166
36;2020-02-27;3;26;78600
37;2020-02-28;3;53;78928
38;2020-02-29;3;66;79356
39;2020-03-01;3;117;79932
40;2020-03-02;5;150;80136
41;2020-03-03;5;188;80261
42;2020-03-04;28;240;80386
43;2020-03-05;30;349;80537
44;2020-03-06;31;534;80690
45;2020-03-07;34;684;80770
46;2020-03-08;39;847;80823
47;2020-03-09;43;1112;80860
48;2020-03-10;56;1296;80887
49;2020-03-11;62;1567;80921
50;2020-03-12;73;2369;80932
51;2020-03-13;82;3062;80945
52;2020-03-14;102;3795;80977
53;2020-03-15;113;4838;81003
54;2020-03-16;119;6012;81033
55;2020-03-17;142;7156;81058
56;2020-03-18;156;8198;81102
57;2020-03-19;194;10999;81156
58;2020-03-20;244;13957;81250
59;2020-03-21;330;16662;81305
60;2020-03-22;396;18610;81435
61;2020-03-23;499;22672;81493
62;2020-03-24;536;27436;81587
63;2020-03-25;657;31554;81658
64;2020-03-26;727;36508;81781
65;2020-03-27;887;42288;81872
66;2020-03-28;987;48582;81964
67;2020-03-29;1024;52547;82058
68;2020-03-30;1251;57298;82139
69;2020-03-31;1397;61913;83786
70;2020-04-01;1998;67366;84002
71;2020-04-02;2543;73522;84129
72;2020-04-03;2567;79696;84265
73;2020-04-04;3082;85778;84363
74;2020-04-05;3588;91714;84467
75;2020-04-06;4778;95391;84611
76;2020-04-07;5311;99225;84692
77;2020-04-08;5916;103228;84909
78;2020-04-09;6725;108202;85024
79;2020-04-10;7598;113525;85115
80;2020-04-11;8446;117658;85208
81;2020-04-12;9205;120479;85377
82;2020-04-13;10453;123016;85489
83;2020-04-14;11487;125098;85569
84;2020-04-15;12322;127584;85668
85;2020-04-16;13430;130450;85774
86;2020-04-17;14352;133830;86187
87;2020-04-18;15722;137439;86258
88;2020-04-19;17615;139897;86321
89;2020-04-20;18539;141672;86382
90;2020-04-21;20080;143457;86452
91;2020-04-22;21370;145694;86508
92;2020-04-23;23077;148046;86548
93;2020-04-24;24530;150383;86594
94;2020-04-25;26283;152438;86632
95;2020-04-26;27890;154175;86661
96;2020-04-27;29451;155193;86692
97;2020-04-28;31324;156337;86754
