date;India;US;Canada;Germany;Australia;Singapore
2020-01-22;0;1;0;0;0;0
2020-01-23;0;1;2;0;0;1
2020-01-24;0;2;3;0;0;3
2020-01-25;0;2;3;0;0;3
2020-01-26;0;5;3;0;4;4
2020-01-27;0;5;3;1;5;5
2020-01-28;0;5;4;4;5;7
2020-01-29;0;6;4;4;6;7
2020-01-30;1;6;4;4;9;10
2020-01-31;1;8;4;5;9;13
2020-02-01;1;8;4;8;12;16
2020-02-02;2;8;4;10;12;18
2020-02-03;3;11;4;12;12;18
2020-02-04;3;11;5;12;13;24
2020-02-05;3;11;6;12;13;28
2020-02-06;3;12;6;12;14;28
2020-02-07;3;12;8;13;15;30
2020-02-08;3;12;8;13;15;33
2020-02-09;3;12;8;14;15;40
2020-02-10;3;12;9;14;15;45
2020-02-11;3;13;9;16;15;47
2020-02-12;3;13;9;16;15;50
2020-02-13;3;14;9;16;15;58
2020-02-14;3;14;9;16;15;67
2020-02-15;3;14;9;16;15;72
2020-02-16;3;14;9;16;15;75
2020-02-17;3;14;10;16;15;77
2020-02-18;3;14;10;16;15;81
2020-02-19;3;14;10;16;15;84
2020-02-20;3;14;11;16;15;84
2020-02-21;3;16;13;16;15;85
2020-02-22;3;16;14;16;15;85
2020-02-23;3;16;15;16;15;89
2020-02-24;3;16;16;16;15;89
2020-02-25;3;16;19;16;15;91
2020-02-26;3;16;20;21;15;93
2020-02-27;3;17;22;26;15;93
2020-02-28;3;17;28;53;15;93
2020-02-29;3;25;33;66;25;102
2020-03-01;3;32;38;117;27;106
2020-03-02;5;55;45;150;30;108
2020-03-03;5;74;51;188;39;110
2020-03-04;28;107;59;240;52;110
2020-03-05;30;184;71;349;55;117
2020-03-06;31;237;90;534;60;130
2020-03-07;34;403;98;684;63;138
2020-03-08;39;519;120;847;76;150
2020-03-09;43;594;144;1112;91;150
2020-03-10;56;782;165;1296;107;160
2020-03-11;62;1147;228;1567;128;178
2020-03-12;73;1586;289;2369;128;178
2020-03-13;82;2219;386;3062;200;200
2020-03-14;102;2978;453;3795;250;212
2020-03-15;113;3212;549;4838;297;226
2020-03-16;119;4679;700;6012;377;243
2020-03-17;142;6512;854;7156;452;266
2020-03-18;156;9169;1097;8198;568;313
2020-03-19;194;13663;1349;10999;681;345
2020-03-20;244;20030;1692;13957;791;385
2020-03-21;330;26025;2195;16662;1071;432
2020-03-22;396;34944;2652;18610;1549;455
2020-03-23;499;46096;3298;22672;1682;509
2020-03-24;536;56714;3997;27436;2044;558
2020-03-25;657;68841;4570;31554;2364;631
2020-03-26;727;86662;5511;36508;2810;683
2020-03-27;887;105253;6380;42288;3143;732
2020-03-28;987;127417;7310;48582;3640;802
2020-03-29;1024;143544;8246;52547;3984;844
2020-03-30;1251;165698;9478;57298;4361;879
2020-03-31;1397;192079;10711;61913;4559;926
2020-04-01;1998;223254;12023;67366;4862;1000
2020-04-02;2543;255530;13742;73522;5116;1049
2020-04-03;2567;287931;15074;79696;5330;1114
2020-04-04;3082;319776;16410;85778;5550;1189
2020-04-05;3588;349016;17599;91714;5687;1309
2020-04-06;4778;380798;19100;95391;5797;1375
2020-04-07;5311;410834;20488;99225;5895;1481
2020-04-08;5916;441897;21724;103228;6010;1623
2020-04-09;6725;477507;23104;108202;6108;1910
2020-04-10;7598;511790;24248;113525;6215;2108
2020-04-11;8446;540714;25624;117658;6303;2299
2020-04-12;9205;567022;26966;120479;6315;2532
2020-04-13;10453;594165;28763;123016;6351;2918
2020-04-14;11487;622493;30452;125098;6415;3252
2020-04-15;12322;648390;32199;127584;6440;3699
2020-04-16;13430;678028;33965;130450;6462;4427
2020-04-17;14352;711135;36091;133830;6522;5050
2020-04-18;15722;738464;37617;137439;6568;5992
2020-04-19;17615;763886;39317;139897;6610;6588
2020-04-20;18539;793970;41029;141672;6623;8014
2020-04-21;20080;820045;42619;143457;6645;9125
2020-04-22;21370;849926;44465;145694;6652;10141
2020-04-23;23077;881891;46274;148046;6662;11178
2020-04-24;24530;913856;47914;150383;6677;12075
2020-04-25;26283;944770;49496;152438;6694;12693
2020-04-26;27890;970741;50707;154175;6714;13624
2020-04-27;29451;995391;52363;155193;6721;14423
2020-04-28;31324;1019964;53886;156337;6744;14951
2020-04-29;33062;1046816;55575;157641;6752;15641
2020-04-30;34863;1076518;57214;159119;6766;16169
2020-05-01;37257;1111410;59025;160758;6778;17101
2020-05-02;39699;1138174;60381;161703;6799;17548
2020-05-03;42505;1161907;61640;162496;6822;18205
2020-05-04;46437;1185709;63016;163175;6847;18778
2020-05-05;49400;1209729;64411;163860;6875;19410
2020-05-06;52987;1234211;65927;164807;6894;20198
2020-05-07;56351;1261950;67198;166091;6913;20939
2020-05-08;59695;1289133;68398;167300;6918;21707
2020-05-09;62808;1313587;69544;168551;6939;22460
2020-05-10;67161;1332334;70582;169218;6948;23336
2020-05-11;70768;1351411;71606;169575;6970;23822
2020-05-12;74292;1374792;72723;170508;6980;24671
2020-05-13;78055;1394807;73950;171306;6989;25346
2020-05-14;81997;1420697;75060;172239;7019;26098
2020-05-15;85784;1445548;76331;173152;7035;26891
2020-05-16;90648;1469598;77486;173772;7044;27356
2020-05-17;95698;1488327;78694;174355;7054;28038
2020-05-18;100328;1510635;79780;174697;7068;28343
2020-05-19;106475;1531138;80782;175210;7072;28794
2020-05-20;112028;1553966;82038;176007;7081;29364
2020-05-21;118226;1579118;83153;176752;7095;29812
2020-05-22;124794;1602947;84243;177212;7099;30426
2020-05-23;131423;1623136;85150;177850;7114;31068
2020-05-24;138536;1643310;86103;178281;7114;31616
2020-05-25;144950;1662404;87067;178570;7126;31960
2020-05-26;150793;1681130;87834;179002;7139;32343
2020-05-27;158086;1699893;88719;179364;7150;32876
2020-05-28;165386;1721160;89506;179717;7165;33249
2020-05-29;173491;1746242;90575;180458;7184;33860
2020-05-30;181827;1769322;91337;181196;7192;34366
2020-05-31;190609;1788241;92067;181482;7202;34884
2020-06-01;198370;1806081;92863;181815;7221;35292
2020-06-02;207191;1826171;93490;182028;7229;35836
2020-06-03;216824;1845327;94172;182370;7240;36405
2020-06-04;226713;1873261;94754;182764;7247;36922
2020-06-05;236184;1899701;95281;183271;7252;37183
2020-06-06;246622;1919970;95805;183678;7259;37527
2020-06-07;257486;1937796;96217;183979;7265;37910
2020-06-08;265928;1954696;96668;184193;7267;38296
2020-06-09;276146;1975017;97102;184543;7274;38514
2020-06-10;286605;1996735;97592;184861;7285;38965
2020-06-11;297535;2019013;98004;185416;7289;39387
2020-06-12;308993;2044571;98465;185674;7294;39850
2020-06-13;320922;2068728;98806;186022;7320;40197
2020-06-14;332424;2087629;99108;186269;7335;40604
2020-06-15;343091;2108628;99485;186461;7347;40818
2020-06-16;354065;2133177;99844;186839;7370;40969
2020-06-17;366946;2160227;100232;187184;7391;41216
2020-06-18;380532;2188454;100638;187764;7409;41473
2020-06-19;395048;2219508;101026;188534;7411;41615
